PostalCode,Baseline,HighRisk_Materials,Age_Targeted,Node_Fix,Material_Weighted,Improvement_HighRisk_Materials_%,Improvement_Age_Targeted_%,Improvement_Node_Fix_%,Improvement_Material_Weighted_%
M5T,1.8926310658454895e-05,1.9953756868839263e-05,2.0660326540470125e-05,1.983295303583145e-05,1.8922507882118224e-05,-5.428666098352246,-9.161932894938499,-4.790380934445537,0.020092538927928866
M3N,1.803334444761276e-05,1.9088699579238893e-05,1.973652672767639e-05,1.9153032183647157e-05,1.8116786003112793e-05,-5.852242964093324,-9.444627894794607,-6.208985467377455,-0.46270704661817413
M6E,2.6945389330387117e-05,2.841944742202759e-05,2.9068488001823427e-05,2.7112438380718232e-05,2.7825536727905273e-05,-5.470539221261626,-7.879265151467039,-0.6199541163902548,-3.266411877469472
M5B,1.7910865664482117e-05,1.885804909467697e-05,1.9731055915355684e-05,1.92168185710907e-05,1.7902489185333252e-05,-5.288317426628645,-10.162491779964991,-7.291400265473115,0.04676758402289703
M8Z,2.773935717344284e-05,2.9520976901054383e-05,2.9751200437545776e-05,2.064089435338974e-05,2.8579070687294006e-05,-6.422714544074702,-7.252667217642081,25.58986055685905,-3.027155635225362
M1R,2.4477695167064666e-05,2.574494445323944e-05,2.6531106233596803e-05,2.265836054086685e-05,2.51639683842659e-05,-5.177159358859447,-8.388906931462452,7.432622286455197,-2.8036676350338348
M2M,2.8334783792495727e-05,3.037101149559021e-05,2.989952600002289e-05,1.5945661723613742e-06,2.9013938903808594e-05,-7.186318124064051,-5.522336852775186,94.37240748318791,-2.3968953364406365
M3K,2.2261471688747407e-05,2.3564508557319642e-05,2.3981951415538786e-05,2.2847059488296508e-05,2.246450537443161e-05,-5.8533276092024344,-7.728508477995358,-2.6304990421864183,-0.9120407155598448
M4C,2.8534339666366578e-05,3.052028775215149e-05,3.0491846442222594e-05,1.5945661723613742e-06,2.948868441581726e-05,-6.959852966654598,-6.860178993955583,94.4117642426438,-3.3445482201768546
M6R,2.7308805108070375e-05,2.898061102628708e-05,2.9429710268974304e-05,2.634379529953003e-05,2.812627065181732e-05,-6.121856711052687,-7.76637847211101,3.5336947358973316,-2.993413811083837
M4A,2.665121865272522e-05,2.813720190525055e-05,2.8728848218917847e-05,2.289906072616577e-05,2.746380281448364e-05,-5.575667183884589,-7.795626883951806,14.078748050704142,-3.048956868902237
M4M,2.6110994517803192e-05,2.7774119734764098e-05,2.7958663284778595e-05,2.145222532749176e-05,2.6822518169879913e-05,-6.36944416585489,-7.076209853728903,17.84217444163207,-2.724996367302613
M4E,2.9182899713516237e-05,3.1234787940979003e-05,3.116659033298492e-05,1.5945661723613742e-06,3.019514000415802e-05,-7.031132093129259,-6.797441785916587,94.53595705699239,-3.468607645500558
M4K,2.521423763036728e-05,2.6761156916618347e-05,2.7059035301208496e-05,2.3564152479171752e-05,2.5831179320812225e-05,-6.135102353394191,-7.316491967297855,6.544259538540301,-2.446798905797246
M3C,2.5306786835193634e-05,2.6637545943260193e-05,2.7422155499458314e-05,2.430689001083374e-05,2.6038098752498627e-05,-5.258506805833997,-8.35889865450196,3.951101460930464,-2.8897857403531497
M9V,2.1763568997383117e-05,2.3141712427139283e-05,2.3332069039344787e-05,2.212337386608124e-05,2.203327226638794e-05,-6.332341124389461,-7.206998273813771,-1.6532438624445565,-1.2392419140318969
M8Y,2.829257124662399e-05,3.0198206424713136e-05,3.0280595302581787e-05,1.5945661723613742e-06,2.9179885149002075e-05,-6.735461268181959,-7.0266644859824,94.36401110927079,-3.136208069049086
M2L,2.5608326256275176e-05,2.7099315345287324e-05,2.755528897047043e-05,2.5256953179836273e-05,2.6343010544776917e-05,-5.822282464269953,-7.602850317943606,1.3721048104532079,-2.8689273994301376
M1J,2.558407837152481e-05,2.7198083817958833e-05,2.7361917793750763e-05,2.2814722061157226e-05,2.6128431975841522e-05,-6.308632357186718,-6.949007098902167,10.824530280715093,-2.127704568488894
M6J,2.4103621244430542e-05,2.545306408405304e-05,2.593096762895584e-05,2.4376027941703796e-05,2.4541614651679994e-05,-5.598506655651609,-7.58121099727922,-1.130148430855372,-1.817126990205492
M3M,2.2751013457775116e-05,2.4015495359897615e-05,2.4665203154087067e-05,2.3440818071365355e-05,2.3071777641773224e-05,-5.5579146154052514,-8.413645835446424,-3.031973124496129,-1.4098896499421094
M1T,1.845897191762924e-05,1.9266505300998687e-05,2.048710662126541e-05,1.9829979956150057e-05,1.8853774428367615e-05,-4.37474734222988,-10.987257105576933,-7.427326097242901,-2.1388109397431703
M6A,2.550949728488922e-05,2.6935184061527252e-05,2.7459061443805694e-05,2.57661190032959e-05,2.615509808063507e-05,-5.58884701143268,-7.642503249451783,-1.005985008409754,-2.530825239462002
